claim,evidence_source,status,strength,supports_submission,blocker_level,notes
"Retrieval is strong (TF-IDF R@1 ~0.91 orig; ~0.90 noisy)","Local rerun this session (331-query eval files + compute_metrics)","CONFIRMED","HIGH","YES","NOT_BLOCKER","Orig TF-IDF 0.9094 (vs manuscript 0.9063); noisy TF-IDF 0.9033 (exact match). BM25 orig 0.8822 vs 0.8852 (-0.003). All deltas within 1 query and explained by 4-entry catalog expansion."
"Downstream grounding is the main bottleneck","Manuscript docs (code paths unchanged, verified by grep)","INFERRED_FROM_ARTIFACTS","HIGH","YES","NOT_BLOCKER","InstantiationReady ≤0.085 even with oracle schema. Oracle covers 0.870 vs TF-IDF 0.822 (+0.048). Retrieval not the only limiter; extraction/assignment bottleneck confirmed structurally."
"Deterministic structured repair improves over typed greedy on at least one metric","docs/NLP4LP_SEMANTIC_IR_REPAIR_RESULTS.md; docs/NLP4LP_OPTIMIZATION_ROLE_METHOD_RESULTS.md","CONFIRMED_FROM_DOCS","MEDIUM","YES","NOT_BLOCKER","Semantic IR repair TypeMatch 0.254 vs typed 0.227 (+0.027). Opt-role repair Exact20 0.277 vs typed 0.214 (+0.063). Coverage preserved for opt-role. Constrained has best Exact20 (0.328) but lowest InstReady (0.027)."
"Acceptance-style methods improve InstantiationReady vs typed greedy","docs/NLP4LP_ACCEPTANCE_RERANK_RESULTS.md","CONFIRMED_FROM_DOCS","MEDIUM","YES","NOT_BLOCKER","tfidf_accept_rerank: InstReady 0.0816 vs typed 0.0725 (+0.009). Hierarchical: 0.0846 (+0.012). Trade-off: Schema R@1 drops from 0.906 to 0.876/0.846."
"Float grounding remains a major weakness","docs/JOURNAL_READINESS_AUDIT.md; type breakdown table","CONFIRMED_FROM_DOCS","HIGH","YES (as limitation)","NOT_BLOCKER","float TypeMatch ≈0.029; integer TypeMatch ≈0.991. Float params are the largest group (n_expected=1209 vs integer 147). Low type_match for floats is the dominant quality gap."
"Learning has not produced trustworthy gains","docs/LEARNING_STAGE3_FIRST_RESULTS.md; artifacts/learning_runs/","CONFIRMED","HIGH","YES (supports deterministic framing)","NOT_BLOCKER","All 5 learned runs used rule-baseline fallback (no torch installed). Metrics identical across all runs. No checkpoint produced. Frames paper as deterministic-only contribution."
"Branch hybrid BM25+TF-IDF retriever improves short-query R@1","Local rerun this session","CONFIRMED","MEDIUM","YES","NOT_BLOCKER","Short R@1: hybrid 0.7915 vs TF-IDF 0.7795 (+0.012). Orig: 0.9094 (same). Noisy: 0.9003 vs TF-IDF 0.9033 (-0.003, within noise). Net positive."
"Branch slot-aware extraction (SAE) achieves 100% value-exact on hand-crafted cases","Local test run this session","CONFIRMED","HIGH","YES","NOT_BLOCKER","24/24 = 100% exact match on 4 hand-crafted LP cases (product-mix, diet, investment, transportation). Previous global_consistency_grounding achieved ~20% on same cases."
"SAE fills 62.9% of schema slots on NLP4LP orig queries","Local run this session (330/331 queries)","CONFIRMED","MEDIUM","YES","NOT_BLOCKER","Mean 4.6/7.4 slots filled per query (62.9%). 7/330 queries have 0 fills (no numeric tokens found). Coverage comparable to full downstream pipeline (0.822) but without gold data."
"Catalog expansion (4 open-domain entries) does not hurt NLP4LP retrieval","Local ablation this session","CONFIRMED","MEDIUM","YES","NOT_BLOCKER","Orig TF-IDF: 335-entry catalog 0.9094 vs 331-entry 0.9063 (+0.003). Short: 335-entry 0.7795 vs 331-entry 0.7825 (-0.003). Minimal impact."
"Manuscript can be framed as deterministic/expert-system paper now","Code audit + all above","CONFIRMED","HIGH","YES","NOT_BLOCKER","All methods are deterministic. Strong retrieval story. Downstream bottleneck clearly identified. Multiple ablations. No LLM dependency. Interpretable trade-offs publishable as findings."
"Full downstream fresh rerun with gold parameter values","N/A — HF gated dataset udell-lab/NLP4LP offline","BLOCKED","HIGH","N/A","NICE_TO_HAVE","Downstream numbers from docs are code-path-verified (unchanged pipeline). New SAE method not tested on full 331-query pipeline with gold labels. Would strengthen paper but not required for submission."
"Strong learning results","N/A — GPU/Wulver required; torch not installed","BLOCKED","HIGH","NOT_NEEDED_FOR_DET_PAPER","NOT_BLOCKER","Paper is deterministic-only. Learning is future work or negative result. Not needed for current submission framing."
"External/cross-dataset benchmark evaluation","No second benchmark available locally","BLOCKED","MEDIUM","N/A","NICE_TO_HAVE","Single benchmark (NLP4LP 331). Reviewer concern is predictable. Should be stated as limitation. Not fatal for workshop/conference paper."
"Solver validation (InstantiationReady → solver-feasible output)","No LP/ILP solver installed","BLOCKED","MEDIUM","N/A","NICE_TO_HAVE","InstantiationReady is threshold-based (coverage≥0.8 AND type_match≥0.8). Not solver-verified. Should be stated as caveat. Does not block submission."
"Noisy variant downstream metrics are meaningful (non-zero)","Structural property of pipeline — confirmed","CONFIRMED_NEGATIVE","HIGH","YES (explains result; retrieval still strong)","NOT_BLOCKER","Noisy uses <num> placeholders; TypeMatch=0 and InstReady=0 by design. Retrieval R@1=0.903 still strong. Must include caveat in paper: noisy downstream = retrieval-only narrative."
"Random baseline inconsistency resolved","Code audit only — not fixed","KNOWN_ISSUE","LOW","N/A","CLEANUP_NEEDED","Retrieval table: random=1/331 (theoretical). Downstream: random=2/331 (empirical, one run). Should align to one definition or clearly label both. Documentation fix only, no re-run needed."
