metric_group,manuscript_method,manuscript_value,current_method,current_value,delta,evidence_source,confidence,notes
schema_retrieval_orig_R1,tfidf,0.9063,tfidf,0.9063,0.0,"results/baselines_nlp4lp_orig.csv; results/paper/nlp4lp_downstream_variant_table.csv","verified from current repo artifacts","Classical retrieval unchanged vs manuscript."
schema_retrieval_orig_R1,bm25,0.8852,bm25,0.8852,0.0,"results/baselines_nlp4lp_orig.csv; results/paper/nlp4lp_downstream_variant_table.csv","verified from current repo artifacts","Classical retrieval unchanged vs manuscript."
schema_retrieval_orig_R1,lsa,0.8550,lsa,0.8550,0.0,"results/baselines_nlp4lp_orig.csv; results/paper/nlp4lp_downstream_variant_table.csv","verified from current repo artifacts","Classical retrieval unchanged vs manuscript."
downstream_orig_InstantiationReady,tfidf_typed_greedy,0.0725,tfidf_typed_greedy,0.0725,0.0,"results/paper/nlp4lp_downstream_main_table_orig.csv","verified from current repo artifacts","Baseline typed greedy unchanged."
downstream_orig_InstantiationReady,oracle_typed_greedy,0.0816,oracle_typed_greedy,0.0816,0.0,"results/paper/nlp4lp_downstream_main_table_orig.csv","verified from current repo artifacts","Perfect-retrieval oracle unchanged."
downstream_orig_InstantiationReady,tfidf_typed_greedy,0.0725,tfidf_acceptance_rerank,0.0816,0.0091,"results/paper/nlp4lp_downstream_main_table_orig.csv; results/paper/nlp4lp_current_situation_after_7_methods.csv","verified from current repo artifacts","Acceptance rerank reaches oracle-level InstantiationReady with slightly lower coverage."
downstream_orig_InstantiationReady,tfidf_typed_greedy,0.0725,tfidf_hierarchical_acceptance_rerank,0.0816,0.0091,"results/paper/nlp4lp_downstream_main_table_orig.csv; results/paper/nlp4lp_current_situation_after_7_methods.csv","verified from current repo artifacts","Hierarchical acceptance rerank also reaches oracle-level InstantiationReady."
downstream_orig_InstantiationReady,tfidf_typed_greedy,0.0725,bm25_typed_greedy,0.0755,0.0030,"results/paper/nlp4lp_downstream_main_table_orig.csv","verified from current repo artifacts","BM25 slightly better InstantiationReady than TF-IDF, as in manuscript."
downstream_orig_InstantiationReady,tfidf_typed_greedy,0.0725,tfidf_optimization_role_repair,0.0600,-0.0125,"results/paper/nlp4lp_downstream_main_table_orig.csv","verified from current repo artifacts","Optimization-role repair trades lower readiness for higher Exact20/TypeMatch."
downstream_orig_TypeMatch,tfidf_typed_greedy,0.2267,tfidf_semantic_ir_repair,0.2540,0.0273,"results/paper/nlp4lp_downstream_main_table_orig.csv","verified from current repo artifacts","Semantic IR repair materially improves TypeMatch."
downstream_orig_TypeMatch,tfidf_typed_greedy,0.2267,tfidf_optimization_role_repair,0.2430,0.0163,"results/paper/nlp4lp_downstream_main_table_orig.csv","verified from current repo artifacts","Optimization-role repair improves TypeMatch."
downstream_orig_TypeMatch,tfidf_typed_greedy,0.2267,tfidf_hierarchical_acceptance_rerank,0.2309,0.0042,"results/paper/nlp4lp_downstream_main_table_orig.csv; results/paper/nlp4lp_current_situation_after_7_methods.csv","verified from current repo artifacts","Hierarchical acceptance rerank slightly improves TypeMatch."
downstream_orig_Exact20,tfidf_typed_greedy,0.2140,tfidf_semantic_ir_repair,0.2610,0.0470,"results/paper/nlp4lp_downstream_main_table_orig.csv","verified from current repo artifacts","Semantic IR repair substantially improves Exact20."
downstream_orig_Exact20,tfidf_typed_greedy,0.2140,tfidf_optimization_role_repair,0.2770,0.0630,"results/paper/nlp4lp_downstream_main_table_orig.csv","verified from current repo artifacts","Optimization-role repair gives the largest Exact20 gain among deterministic methods."
downstream_orig_Exact20,tfidf_typed_greedy,0.2140,tfidf_constrained,0.3279,0.1139,"results/paper/nlp4lp_downstream_main_table_orig.csv","verified from current repo artifacts","Constrained method maximizes Exact20 but with reduced coverage/readiness."
per_type_float_TypeMatch,tfidf_typed_greedy,0.0287,tfidf_hierarchical_acceptance_rerank,0.0297,0.0010,"results/paper/nlp4lp_downstream_types_table_orig.csv","verified from current repo artifacts","Only tiny improvement in float TypeMatch; float remains very weak."
per_type_float_TypeMatch,tfidf_typed_greedy,0.0287,tfidf_semantic_ir_repair,0.0179,-0.0108,"results/paper/nlp4lp_downstream_types_table_orig.csv","verified from current repo artifacts","Some structured methods worsen float TypeMatch."
per_type_float_TypeMatch,tfidf_typed_greedy,0.0287,tfidf_optimization_role_repair,0.0171,-0.0116,"results/paper/nlp4lp_downstream_types_table_orig.csv","verified from current repo artifacts","Optimization-role repair also worsens float TypeMatch."
short_query_expansion_SBERTRetrieval_P1,none (not in manuscript),N/A,expansion_ON,0.973,N/A,"docs/PORTED_IMPROVEMENTS_BENCHMARK.md","verified from current repo artifact","SBERT P@1 with short-query expansion ON; no manuscript baseline."
short_query_expansion_SBERTRetrieval_P1,none (not in manuscript),N/A,expansion_OFF,0.990,N/A,"docs/PORTED_IMPROVEMENTS_BENCHMARK.md","verified from current repo artifact","SBERT P@1 slightly higher with expansion OFF on 300-instance eval; heuristic not beneficial in this test."
written_number_coverage,none (not in manuscript),N/A,written_number_logic_enabled,0.44,N/A,"docs/PORTED_IMPROVEMENTS_BENCHMARK.md","verified from current repo artifact","Approx. 44% of queries gain extra numeric tokens/mentions; no downstream metrics re-run yet."
embedding_cache_latency,none (not in manuscript),N/A,embedding_cache_fixed,N/A,N/A,"docs/PORTED_IMPROVEMENTS_BENCHMARK.md; retrieval/search.py; app.py","verified from current code only, no benchmark artifact","Index reuse is structurally faster; no stable old-vs-new timing stored in repo."
learning_based_methods,none (not in manuscript),N/A,learned_ranker/grounder,N/A,N/A,"src/learning/*; batch/learning/*; scripts/learning/*","verified from current code only, no benchmark artifact","Implemented but no trusted N=331 NLP4LP leaderboard for learned models."
